date,weekday,weekday_name,is_holiday,holiday_name,avg_temp_c,min_temp_c,max_temp_c,요일_월,요일_화,요일_수,요일_목,요일_금,요일_토,요일_일,주말여부,휴일여부,평일여부,봄,여름,가을,겨울,월,일
2025-07-28,0,월,0,,30.9,27.1,36.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7,28
2025-07-29,1,화,0,,31.2,25.7,36.7,0,1,0,0,0,0,0,0,0,1,0,1,0,0,7,29
2025-07-30,2,수,0,,30.9,26.1,35.9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7,30
2025-07-31,3,목,0,,29.9,26.4,34.7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,7,31
2025-08-01,4,금,0,,30.4,25.1,35.8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,8,1
2025-08-02,5,토,1,토요일,31.2,26.2,35.8,0,0,0,0,0,1,0,1,1,0,0,1,0,0,8,2
2025-08-03,6,일,1,일요일,27.4,22.3,31.3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,8,3
2025-08-04,0,월,0,,28.4,23.4,33.3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8,4
2025-08-05,1,화,0,,29.3,24.7,33.8,0,1,0,0,0,0,0,0,0,1,0,1,0,0,8,5
2025-08-06,2,수,0,,28.0,26.1,31.1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8,6
2025-08-07,3,목,0,,27.5,23.9,32.6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,8,7
2025-08-08,4,금,0,,26.1,22.4,30.8,0,0,0,0,1,0,0,0,0,1,0,1,0,0,8,8
2025-08-09,5,토,1,토요일,24.3,23.1,26.3,0,0,0,0,0,1,0,1,1,0,0,1,0,0,8,9
2025-08-10,6,일,1,일요일,26.2,21.4,32.0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,8,10
2025-08-11,0,월,0,,24.3,21.8,28.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,8,11
2025-08-12,1,화,0,,24.3,20.4,29.5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,8,12
2025-08-13,2,수,0,,26.8,23.3,31.9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8,13
